batch,sim,x,y
sim37_N1,Auto5_S040W040.hist_Ks_hist_fit2.0,40,0.00036535891401062726
sim37_N1,Auto7_S020W020.hist_Ks_hist_fit2.0,20,-0.00014574597770977693
sim37_N5,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.029928649084003167
sim37_N5,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.02616445650813015
sim37_N5,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.02427206232521606
sim37_N5,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.025964926000962674
sim37_N5,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.028004472444337347
sim37_N5,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.020618842021222328
sim37_N5,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.031149968973118808
sim37_N5,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.03993572911535015
sim37_N5,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.024093319711867678
sim37_N5,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.024027166963816682
sim37_N5,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.019535480886872292
sim37_N5,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.03521649878080477
sim37_N5,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.03154230070320324
sim37_N5,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.025337483801056493
sim37_N5,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.018198974909786392
sim37_N5,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.023870349187743334
sim37_N5,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.02569968754135571
sim37_N5,Allo1_S080W070.hist_Ks_hist_fit2.0,80,0.021267158710065237
sim37_N5,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.026076874101388037
sim37_N5,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.032446093272570364
sim37_N5,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.028370448884037724
sim37_N5,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.036486004614401726
sim37_N5,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.028242269325005842
sim37_N5,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.02547244925368919
sim37_N5,Auto1_S080W080.hist_Ks_hist_fit2.0,80,0.005064905761485994
sim37_N5,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.006177065330431719
sim37_N5,Auto3_S060W060.hist_Ks_hist_fit2.0,60,0.0008344046154143969
sim37_N5,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.00019012226443396174
